Name,Elo,WinStreak,LastFight
Islam Makhachev,1755.9228852705023,16,2025-11-15
Jon Jones,1683.8262583969401,6,2024-11-16
Georges St-Pierre,1635.326578541266,13,2017-11-04
Francis Ngannou,1605.4387107947227,6,2022-01-22
Merab Dvalishvili,1598.3249123403243,0,2025-12-06
Ilia Topuria,1596.4190895925049,9,2025-06-28
Khamzat Chimaev,1591.3292002409994,9,2025-08-16
Khabib Nurmagomedov,1589.803730467696,12,2020-10-24
Valentina Shevchenko,1568.0043395659889,3,2025-11-15
Alex Pereira,1564.4149514289447,1,2025-10-04
Max Holloway,1548.910333489807,1,2025-07-19
Kamaru Usman,1547.63391059839,1,2025-06-14
Charles Oliveira,1546.3096951747932,1,2025-10-11
Arman Tsarukyan,1541.66972605949,5,2025-11-22
Dricus Du Plessis,1537.0231540693458,0,2025-08-16
Petr Yan,1536.9995630548801,4,2025-12-06
Tom Aspinall,1525.385694841781,0,2025-10-25
Alexander Volkanovski,1524.890407700428,1,2025-04-12
Jack Della Maddalena,1523.3066737315332,0,2025-11-15
Aljamain Sterling,1518.2974474238536,1,2025-08-23
Ciryl Gane,1517.5087426208752,0,2025-10-25
Carlos Ulberg,1515.1812159845495,9,2025-09-28
Daniel Cormier,1514.5420115652203,0,2020-08-15
Belal Muhammad,1511.27741990518,0,2025-11-22
Nassourdine Imavov,1506.5110195178163,5,2025-09-06
Magomed Ankalaev,1504.7198469223872,0,2025-10-04
Demetrious Johnson,1503.2011862646132,0,2018-08-04
Michael Morales,1499.9355386496095,7,2025-11-15
Movsar Evloev,1491.715612105258,9,2024-12-07
Lerone Murphy,1490.6973519250303,9,2025-08-16
Stipe Miocic,1487.896002967693,0,2024-11-16
Alexander Volkov,1486.42789560439,1,2025-10-25
Anthony Hernandez,1485.35419354823,8,2025-08-09
Alexandre Pantoja,1481.906707323538,0,2025-12-06
Ian Machado Garry,1481.733714636728,2,2025-11-22
Amanda Nunes,1481.4989435169928,2,2023-06-10
Shavkat Rakhmonov,1475.862918254013,7,2024-12-07
Leon Edwards,1474.669242728767,0,2025-11-15
Zhang Weili,1473.9116376934448,0,2025-11-15
