,Date,Event,Fighter,Opponent,Streak,Pre_Elo,Post_Elo,WeightClass,Result,Method,Method_Notes,Round,Time,ConvertedTime,isTitleBout,K_Value,FightCount
0,1993-11-12,/wiki/UFC_1,Gerard Gordeau,Royce Gracie,0.0,1200.0,1178.0515334858264,,L,SUB,Submission (rear-naked choke),,1:44,104.0,False,43.896933028347135,1.0
1,1993-11-12,/wiki/UFC_1,Trent Jenkins,Jason Delucia,0.0,1200.0,1178.0515334858264,,L,SUB,Submission (rear-naked choke),,0:52,52.0,False,43.896933028347135,1.0
2,1993-11-12,/wiki/UFC_1,Kevin Rosier,Gerard Gordeau,0.0,1200.0,1176.6668297084002,,L,TKO,TKO (corner stoppage),,0:59,59.0,False,43.896933028347135,1.0
3,1993-11-12,/wiki/UFC_1,Patrick Smith,Ken Shamrock,0.0,1200.0,1178.0515334858264,,L,SUB,Submission (heel hook),,1:49,109.0,False,43.896933028347135,1.0
4,1993-11-12,/wiki/UFC_1,Zane Frazier,Kevin Rosier,0.0,1200.0,1176.5797246759794,,L,TKO,TKO (punches),,4:20,260.0,False,43.896933028347135,1.0
5,1993-11-12,/wiki/UFC_1,Gerard Gordeau,Kevin Rosier,1.0,1178.0515334858264,1201.3847037774262,,W,TKO,TKO (corner stoppage),,0:59,59.0,False,43.896933028347135,2.0
6,1993-11-12,/wiki/UFC_1,Ken Shamrock,Patrick Smith,1.0,1200.0,1221.9484665141736,,W,SUB,Submission (heel hook),,1:49,109.0,False,43.896933028347135,1.0
7,1993-11-12,/wiki/UFC_1,Kevin Rosier,Zane Frazier,1.0,1176.6668297084002,1200.0871050324208,,W,TKO,TKO (punches),,4:20,260.0,False,43.896933028347135,2.0
8,1993-11-12,/wiki/UFC_1,Jason Delucia,Trent Jenkins,1.0,1200.0,1221.9484665141736,,W,SUB,Submission (rear-naked choke),,0:52,52.0,False,43.896933028347135,1.0
9,1993-11-12,/wiki/UFC_1,Royce Gracie,Gerard Gordeau,1.0,1200.0,1221.9484665141736,,W,SUB,Submission (rear-naked choke),,1:44,104.0,False,43.896933028347135,1.0
10,1994-03-11,/wiki/UFC_2,Johnny Rhodes,Fred Ettish,1.0,1175.3111778999437,1198.9569638559976,,W,SUB,Submission (rear-naked choke),,3:07,187.0,False,44.15890492271292,2.0
11,1994-03-11,/wiki/UFC_2,Patrick Smith,Johnny Rhodes,1.0,1158.746971456596,1183.4357935566525,,W,SUB,Submission (guillotine choke),,1:07,67.0,False,44.15890492271292,3.0
12,1994-03-11,/wiki/UFC_2,Remco Pardoel,Orlando Wiet,1.0,1200.0,1222.9286621714086,,W,KO,KO (elbows),,1:29,89.0,False,45.85732434281727,1.0
13,1994-03-11,/wiki/UFC_2,Jason Delucia,Scott Baker,2.0,1221.9484665141736,1242.9452487176873,,W,SUB,TKO (submission to punches),,6:41,401.0,False,44.15890492271292,2.0
14,1994-03-11,/wiki/UFC_2,Orlando Wiet,Robert Lucarelli,1.0,1177.0713378285914,1200.6057898955637,,W,TKO,TKO (knees),,2:50,170.0,False,44.15890492271292,2.0
15,1994-03-11,/wiki/UFC_2,Royce Gracie,Patrick Smith,2.0,1221.9484665141736,1241.5425969738426,,W,SUB,TKO (submission to punches),,1:17,77.0,False,44.15890492271292,2.0
16,1994-03-11,/wiki/UFC_2,Frank Hamaker,Thaddeus Luster,1.0,1200.0,1222.0794524613564,,W,TKO,TKO (corner stoppage),,4:52,292.0,False,44.15890492271292,1.0
17,1994-03-11,/wiki/UFC_2,Scott Morris,Sean Daugherty,1.0,1200.0,1222.0794524613564,,W,SUB,Submission (guillotine choke),,0:20,20.0,False,44.15890492271292,1.0
18,1994-03-11,/wiki/UFC_2,Fred Ettish,Johnny Rhodes,0.0,1200.0,1176.3542140439458,,L,SUB,Submission (rear-naked choke),,3:07,187.0,False,44.15890492271292,1.0
19,1994-03-11,/wiki/UFC_2,Patrick Smith,Royce Gracie,0.0,1178.0515334858264,1158.746971456596,,L,SUB,TKO (submission to punches),,1:17,77.0,False,44.15890492271292,2.0
