Name,Elo
Islam Makhachev,{'elo': 1946.744382600451, 'winStreak': 15}
Jon Jones,{'elo': 1857.5407614234487, 'winStreak': 6}
Georges St-Pierre,{'elo': 1785.2030919754025, 'winStreak': 12}
Khabib Nurmagomedov,{'elo': 1758.2496008054554, 'winStreak': 12}
Merab Dvalishvili,{'elo': 1744.3540346587174, 'winStreak': 12}
Francis Ngannou,{'elo': 1743.7844589784909, 'winStreak': 6}
Belal Muhammad,{'elo': 1731.3661471660555, 'winStreak': 6}
Leon Edwards,{'elo': 1722.40829498429, 'winStreak': 0}
Ilia Topuria,{'elo': 1721.9128061245199, 'winStreak': 8}
Charles Oliveira,{'elo': 1695.263264938814, 'winStreak': 1}
Kamaru Usman,{'elo': 1691.3476790912698, 'winStreak': 0}
Khamzat Chimaev,{'elo': 1676.6235326659157, 'winStreak': 8}
Dricus Du Plessis,{'elo': 1671.4823390885022, 'winStreak': 8}
Max Holloway,{'elo': 1662.85252443925, 'winStreak': 0}
Alex Pereira,{'elo': 1644.1517348378927, 'winStreak': 5}
Amanda Nunes,{'elo': 1640.8339272219662, 'winStreak': 2}
Movsar Evloev,{'elo': 1636.8100003314842, 'winStreak': 9}
Stipe Miocic,{'elo': 1620.5755939081937, 'winStreak': 0}
Ciryl Gane,{'elo': 1617.5432684680338, 'winStreak': 2}
Magomed Ankalaev,{'elo': 1617.498465163395, 'winStreak': 2}
Tom Aspinall,{'elo': 1614.7369032743009, 'winStreak': 3}
Alexander Volkanovski,{'elo': 1614.2164841530355, 'winStreak': 0}
Daniel Cormier,{'elo': 1602.613702723446, 'winStreak': 0}
Aljamain Sterling,{'elo': 1600.9146051710143, 'winStreak': 0}
Arman Tsarukyan,{'elo': 1596.9761531510137, 'winStreak': 4}
Shavkat Rakhmonov,{'elo': 1590.9734710534576, 'winStreak': 7}
Dustin Poirier,{'elo': 1583.6714023594852, 'winStreak': 0}
Robert Whittaker,{'elo': 1575.5034415873279, 'winStreak': 0}
Jack Della Maddalena,{'elo': 1572.0154283980862, 'winStreak': 7}
Israel Adesanya,{'elo': 1566.80481181137, 'winStreak': 0}
Valentina Shevchenko,{'elo': 1564.9889647832838, 'winStreak': 1}
Alexandre Pantoja,{'elo': 1564.7705431801764, 'winStreak': 7}
Joaquin Buckley,{'elo': 1562.8122885459, 'winStreak': 6}
Justin Gaethje,{'elo': 1561.0842020827001, 'winStreak': 0}
Demetrious Johnson,{'elo': 1557.4637709511603, 'winStreak': 0}
Zhang Weili,{'elo': 1549.893757715301, 'winStreak': 4}
Anthony Johnson,{'elo': 1549.7631609142268, 'winStreak': 0}
Sean O'Malley,{'elo': 1545.6893062187237, 'winStreak': 0}
Arnold Allen,{'elo': 1541.5528417948121, 'winStreak': 1}
Jan Błachowicz,{'elo': 1540.8572765943713, 'winStreak': 0}
Manon Fiorot,{'elo': 1537.6786401836882, 'winStreak': 7}
Petr Yan,{'elo': 1535.6076956520972, 'winStreak': 2}
Colby Covington,{'elo': 1530.2576579893737, 'winStreak': 0}
Gegard Mousasi,{'elo': 1530.1576378873715, 'winStreak': 5}
Henry Cejudo,{'elo': 1529.6220865008704, 'winStreak': 0}
Sean Strickland,{'elo': 1526.6324412577674, 'winStreak': 1}
Beneil Dariush,{'elo': 1524.374599853851, 'winStreak': 0}
Alexander Volkov,{'elo': 1521.7678266056637, 'winStreak': 0}
Ryan Bader,{'elo': 1520.308453274326, 'winStreak': 2}
Mario Bautista,{'elo': 1519.602996968562, 'winStreak': 7}
Deiveson Figueiredo,{'elo': 1517.5726964403825, 'winStreak': 0}
Caio Borralho,{'elo': 1516.411550258697, 'winStreak': 7}
Grant Dawson,{'elo': 1511.1031185542242, 'winStreak': 3}
Lerone Murphy,{'elo': 1510.0329391986397, 'winStreak': 7}
Cory Sandhagen,{'elo': 1509.6638479873673, 'winStreak': 0}
Carlos Ulberg,{'elo': 1508.9908550753744, 'winStreak': 7}
Jailton Almeida,{'elo': 1505.4869757392312, 'winStreak': 2}
Sean Brady,{'elo': 1504.9243538533904, 'winStreak': 2}
Conor Mcgregor,{'elo': 1504.1393179350782, 'winStreak': 0}
Michael Bisping,{'elo': 1503.4130094351217, 'winStreak': 0}
Glover Teixeira,{'elo': 1501.938621343689, 'winStreak': 0}
Brendan Allen,{'elo': 1501.1716780711456, 'winStreak': 0}
T.J. Dillashaw,{'elo': 1500.1088617891235, 'winStreak': 0}
Curtis Blaydes,{'elo': 1497.5666891034723, 'winStreak': 0}
Vicente Luque,{'elo': 1496.7778934328708, 'winStreak': 1}
Diego Lopes,{'elo': 1495.0932948893562, 'winStreak': 5}
Josh Emmett,{'elo': 1494.440239777115, 'winStreak': 1}
Michel Pereira,{'elo': 1491.0539536075473, 'winStreak': 0}
Renato Moicano,{'elo': 1489.5418564765416, 'winStreak': 0}
Dan Hooker,{'elo': 1487.3546471538698, 'winStreak': 3}
Nassourdine Imavov,{'elo': 1486.416372244573, 'winStreak': 3}
Erin Blanchfield,{'elo': 1486.3195201016354, 'winStreak': 1}
Cain Velasquez,{'elo': 1482.6476429853474, 'winStreak': 0}
Tatiana Suarez,{'elo': 1482.2153349956047, 'winStreak': 7}
Umar Nurmagomedov,{'elo': 1475.350498058938, 'winStreak': 0}
Muhammad Mokaev,{'elo': 1473.2157832920168, 'winStreak': 7}
Nate Diaz,{'elo': 1469.9084076740044, 'winStreak': 1}
Norma Dumont,{'elo': 1467.3507032276314, 'winStreak': 5}
Anthony Hernandez,{'elo': 1466.876189397061, 'winStreak': 6}
José Aldo,{'elo': 1466.5050087858513, 'winStreak': 0}
Mateusz Gamrot,{'elo': 1466.3512901501085, 'winStreak': 0}
Benson Henderson,{'elo': 1464.1656947984452, 'winStreak': 2}
Yair Rodríguez,{'elo': 1463.6829177378079, 'winStreak': 0}
Brian Ortega,{'elo': 1463.122589443966, 'winStreak': 0}
Montel Jackson,{'elo': 1462.2826269508596, 'winStreak': 5}
Tyron Woodley,{'elo': 1462.1827736455136, 'winStreak': 0}
Song Yadong,{'elo': 1461.1115765518814, 'winStreak': 0}
Yoel Romero,{'elo': 1457.275813667641, 'winStreak': 0}
Randy Brown,{'elo': 1457.2427173169692, 'winStreak': 0}
Sergei Pavlovich,{'elo': 1455.5524411957288, 'winStreak': 0}
Paddy Pimblett,{'elo': 1454.347174519197, 'winStreak': 6}
Gilbert Burns,{'elo': 1454.3226520127357, 'winStreak': 0}
Michael Morales,{'elo': 1453.871656120741, 'winStreak': 5}
Michael Chiesa,{'elo': 1452.6692802356424, 'winStreak': 2}
Joel Álvarez,{'elo': 1452.1584549490462, 'winStreak': 3}
Ian Machado Garry,{'elo': 1451.9395075231926, 'winStreak': 0}
Nikita Krylov,{'elo': 1450.762690087429, 'winStreak': 3}
John Lineker,{'elo': 1450.1780661102732, 'winStreak': 0}
Natália Silva,{'elo': 1450.134798437018, 'winStreak': 6}
Jiří Procházka,{'elo': 1449.1619599175142, 'winStreak': 1}
Rose Namajunas,{'elo': 1448.8790946731833, 'winStreak': 0}
Brandon Moreno,{'elo': 1447.8117510958248, 'winStreak': 1}
Marlon Vera,{'elo': 1447.120990871038, 'winStreak': 0}
Gregor Gillespie,{'elo': 1446.5136838145634, 'winStreak': 1}
Maycee Barber,{'elo': 1446.2326012056183, 'winStreak': 6}
Raquel Pennington,{'elo': 1445.4393027893138, 'winStreak': 0}
Anthony Pettis,{'elo': 1445.2660470064773, 'winStreak': 2}
Marvin Vettori,{'elo': 1444.7889677883225, 'winStreak': 0}
Brandon Royval,{'elo': 1444.1175562054443, 'winStreak': 2}
Derek Brunson,{'elo': 1443.435416824435, 'winStreak': 0}
Jon Fitch,{'elo': 1442.0443228904112, 'winStreak': 0}
Roman Dolidze,{'elo': 1440.5780874453187, 'winStreak': 2}
Zabit Magomedsharipov,{'elo': 1439.974985621072, 'winStreak': 6}
Carlos Prates,{'elo': 1439.1382740222798, 'winStreak': 4}
Giga Chikadze,{'elo': 1438.846591491397, 'winStreak': 0}
Yan Xiaonan,{'elo': 1438.491236452249, 'winStreak': 1}
