Name,Elo,WinStreak,LastFight
Islam Makhachev,1732.4236212834999,15,2025-01-18
Jon Jones,1708.4597455694518,6,2024-11-16
Georges St-Pierre,1639.3475735847048,13,2017-11-04
Francis Ngannou,1609.9727955604194,6,2022-01-22
Belal Muhammad,1597.221095378689,6,2024-07-27
Khabib Nurmagomedov,1594.103532706035,12,2020-10-24
Dricus Du Plessis,1585.8086837657145,9,2025-02-08
Merab Dvalishvili,1585.6193435282098,12,2025-01-18
Leon Edwards,1570.498232921164,0,2024-07-27
Magomed Ankalaev,1564.5756101590898,3,2025-03-08
Charles Oliveira,1561.176156242604,1,2024-11-16
Ilia Topuria,1546.3464595554549,8,2024-10-26
Khamzat Chimaev,1545.5626039613603,8,2024-10-26
Daniel Cormier,1517.9140247256373,0,2020-08-15
Alex Pereira,1516.4519527314667,0,2025-03-08
Tom Aspinall,1514.1723830498313,3,2024-07-27
Zhang Weili,1513.8601050065677,5,2025-02-08
Ciryl Gane,1513.6990561719253,2,2024-12-07
Movsar Evloev,1513.1336345704392,9,2024-12-07
Max Holloway,1512.8023437864779,0,2024-10-26
Stipe Miocic,1509.2925122935017,0,2024-11-16
Demetrious Johnson,1505.6311182346105,0,2018-08-04
Amanda Nunes,1501.8637532366288,2,2023-06-10
Alexandre Pantoja,1500.492075723407,7,2024-12-07
Shavkat Rakhmonov,1497.1918847839913,7,2024-12-07
Aljamain Sterling,1495.6391707258751,0,2024-12-07
Kamaru Usman,1491.5587063233288,0,2023-10-21
Arman Tsarukyan,1487.7747377160247,4,2024-04-13
Alexander Volkanovski,1486.4716424594728,0,2024-02-17
Justin Gaethje,1481.57841298893,1,2025-03-08
Valentina Shevchenko,1478.3235024691528,1,2024-09-14
Nassourdine Imavov,1476.020266196532,4,2025-02-01
Joaquin Buckley,1473.3092716970402,6,2024-12-14
Robert Whittaker,1472.003597627885,0,2024-10-26
Dustin Poirier,1470.6340499086302,0,2024-06-01
Jack Della Maddalena,1462.1651668450097,7,2024-03-09
Sean O'Malley,1461.7740218146996,0,2024-09-14
Grant Dawson,1460.6387984374378,3,2025-01-18
Anthony Johnson,1459.5276833877422,0,2017-04-08
Anthony Hernandez,1454.0294707965813,7,2025-02-22
Deiveson Figueiredo,1451.8444671587536,0,2024-11-23
Jailton Almeida,1451.5837308138318,2,2025-01-18
Song Yadong,1447.3005689223119,1,2025-02-22
Petr Yan,1445.92198498675,2,2024-11-23
Alexander Volkov,1445.4497310460465,0,2024-12-07
Ryan Bader,1444.5146807400836,2,2016-11-19
Mario Bautista,1443.8508010697765,7,2024-10-05
Gegard Mousasi,1443.5068846328702,5,2017-04-08
Vicente Luque,1439.8328396678778,1,2024-12-07
Arnold Allen,1436.738471323854,1,2024-07-27
Manon Fiorot,1435.7654011571199,7,2024-03-30
Lerone Murphy,1434.694196693067,7,2024-10-26
Carlos Ulberg,1432.9851855477104,7,2024-11-23
Caio Borralho,1430.504544300381,7,2024-08-24
Benson Henderson,1427.9617492691825,2,2015-11-28
Michael Bisping,1427.7899832859132,0,2017-11-25
Sean Strickland,1427.0851437091471,0,2025-02-08
Renato Moicano,1426.3130352360838,0,2025-01-18
Cory Sandhagen,1426.0101313794087,0,2024-08-03
Sean Brady,1425.4407651884517,2,2024-09-07
Michel Pereira,1421.853294239172,0,2024-10-19
Erin Blanchfield,1421.2769959319287,1,2024-11-02
Colby Covington,1420.3712635284003,0,2024-12-14
Sergei Pavlovich,1420.2998962516465,1,2025-02-01
Israel Adesanya,1418.9046691901021,0,2025-02-01
Diego Lopes,1418.46385267188,5,2024-09-14
Curtis Blaydes,1417.4064286130188,0,2024-07-27
Conor Mcgregor,1417.2263596270802,0,2021-07-10
Cain Velasquez,1416.047357025833,0,2019-02-17
Dan Hooker,1412.2892208509572,3,2024-08-18
Muhammad Mokaev,1407.6414835602432,7,2024-07-27
Nasrat Haqparast,1407.3804784264798,5,2025-03-01
Brendan Allen,1407.1490571075865,0,2025-02-22
Beneil Dariush,1405.6418760504312,0,2023-12-02
Norma Dumont,1404.649343204507,5,2024-09-14
Henry Cejudo,1404.6331009743549,0,2025-02-22
Jan Błachowicz,1403.9544528004276,0,2023-07-29
Umar Nurmagomedov,1402.5292543938017,0,2025-01-18
Jared Cannonier,1401.7417242409126,1,2025-02-15
Randy Brown,1400.2590898497901,0,2024-12-07
Joel Álvarez,1399.8031327945453,3,2024-12-14
Rob Font,1399.1697311846847,2,2025-02-22
Montel Jackson,1398.4274148723514,5,2024-07-13
John Lineker,1397.5528480247592,0,2019-04-27
Brandon Royval,1395.7161721539899,2,2024-10-12
Bryan Battle,1395.1372572292828,2,2024-12-07
Brandon Moreno,1394.3651602511327,1,2024-11-02
José Aldo,1393.9640061874022,0,2024-10-05
Gregor Gillespie,1392.3881066143772,1,2021-05-08
Michael Morales,1392.3601789088814,5,2024-08-24
Josh Emmett,1391.484770553167,1,2023-12-16
Rustam Khabilov,1390.9500347735777,1,2019-11-09
Natália Silva,1390.183190297139,6,2024-09-07
Ian Machado Garry,1389.334730483071,0,2024-12-07
Paddy Pimblett,1389.172425349763,6,2024-07-27
Tatiana Suarez,1388.771120314583,0,2025-02-08
Rose Namajunas,1388.7322160973577,0,2024-11-02
Mateusz Gamrot,1388.137731196442,0,2024-08-18
Rinat Fakhretdinov,1387.4407986312315,2,2024-10-26
Zabit Magomedsharipov,1387.421052312118,6,2019-11-09
Demian Maia,1387.0330640992631,0,2021-06-12
Jon Fitch,1386.7325537614606,0,2013-02-02
Raquel Pennington,1384.3040554951456,0,2024-10-05
Maycee Barber,1383.4825610823957,6,2024-03-09
Michael Chiesa,1383.4031110793721,2,2024-12-07
Jiří Procházka,1383.310309125375,1,2025-01-18
Julianna Peña,1381.5849413649373,1,2024-10-05
