,Unnamed: 0,Event,Date,WeightClass,Winner,Result,Loser,Method,Method_Notes,Round,Time,ConvertedTime,isTitleBout,WinStreak,Winner_Pre_Elo,Loser_Pre_Elo,Loser_brokenStreak,Winner_Post_Elo,Loser_Post_Elo,K_Value,Winner_winStreak
0,0,/wiki/UFC_1,1993-11-12,,Royce Gracie,def,Gerard Gordeau,SUB,Submission (rear-naked choke),,1:44,104.0,False,0,1200.0,1200.0,0.0,1232.2487633213552,1167.7512366786448,64.49752664271061,1.0
1,1,/wiki/UFC_1,1993-11-12,,Jason Delucia,def,Trent Jenkins,SUB,Submission (rear-naked choke),,0:52,52.0,False,0,1200.0,1200.0,0.0,1232.2487633213552,1167.7512366786448,64.49752664271061,1.0
2,2,/wiki/UFC_1,1993-11-12,,Royce Gracie,def,Ken Shamrock,SUB,Submission (rear-naked choke),,0:57,57.0,False,0,1232.2487633213552,1200.0,0.0,1263.2686235688495,1170.7359808985902,64.49752664271061,2.0
3,3,/wiki/UFC_1,1993-11-12,,Gerard Gordeau,def,Kevin Rosier,TKO,TKO (corner stoppage),,0:59,59.0,False,0,1167.7512366786448,1200.0,0.0,1202.9847442199457,1164.766492458699,64.49752664271061,1.0
4,4,/wiki/UFC_1,1993-11-12,,Ken Shamrock,def,Patrick Smith,SUB,Submission (heel hook),,1:49,109.0,False,0,1170.7359808985902,1200.0,0.0,1205.694607665953,1165.0413732326372,64.49752664271061,1.0
5,5,/wiki/UFC_1,1993-11-12,,Royce Gracie,def,Art Jimmerson,SUB,Submission (smother choke),,2:18,138.0,False,0,1263.2686235688495,1200.0,0.0,1292.9769123261456,1173.5597287670914,64.49752664271061,3.0
6,6,/wiki/UFC_1,1993-11-12,,Kevin Rosier,def,Zane Frazier,TKO,TKO (punches),,4:20,260.0,False,0,1164.766492458699,1200.0,0.0,1200.2744440113936,1164.4920484473055,64.49752664271061,1.0
7,7,/wiki/UFC_1,1993-11-12,,Gerard Gordeau,def,Teila Tuli,TKO,TKO (head kick),,0:26,26.0,False,0,1202.9847442199457,1200.0,0.0,1236.874775860279,1168.0282720374214,64.49752664271061,2.0
8,8,/wiki/UFC_2,1994-03-11,,Royce Gracie,def,Patrick Smith,SUB,TKO (submission to punches),,1:17,77.0,False,0,1292.9769123261456,1165.0413732326372,0.0,1317.9081436371052,1144.1086306742168,64.65121510973917,4.0
9,9,/wiki/UFC_2,1994-03-11,,Patrick Smith,def,Johnny Rhodes,SUB,Submission (guillotine choke),,1:07,67.0,False,0,1144.1086306742168,1200.0,0.0,1181.5900053634905,1162.5186253107263,64.65121510973917,1.0
10,10,/wiki/UFC_2,1994-03-11,,Royce Gracie,def,Remco Pardoel,SUB,Submission (lapel choke),,1:31,91.0,False,0,1317.9081436371052,1200.0,0.0,1345.3770866569223,1178.2420242981566,64.65121510973917,5.0
11,11,/wiki/UFC_2,1994-03-11,,Patrick Smith,def,Scott Morris,KO,KO (elbows),,0:30,30.0,False,0,1181.5900053634905,1200.0,0.0,1225.0185465364325,1159.029678138734,77.82090707653789,2.0
12,12,/wiki/UFC_2,1994-03-11,,Johnny Rhodes,def,Fred Ettish,SUB,Submission (rear-naked choke),,3:07,187.0,False,0,1162.5186253107263,1200.0,0.0,1198.3180558165798,1164.2005694941465,64.65121510973917,1.0
13,13,/wiki/UFC_2,1994-03-11,,Remco Pardoel,def,Orlando Wiet,KO,KO (elbows),,1:29,89.0,False,0,1178.2420242981566,1200.0,0.0,1219.5860445615035,1158.655979736653,77.82090707653789,1.0
14,14,/wiki/UFC_2,1994-03-11,,Royce Gracie,def,Jason Delucia,SUB,Submission (armbar),,1:07,67.0,False,0,1345.3770866569223,1232.2487633213552,1.0,1375.028063091805,1210.0918288469302,64.65121510973917,6.0
15,15,/wiki/UFC_2,1994-03-11,,Scott Morris,def,Sean Daugherty,SUB,Submission (guillotine choke),,0:20,20.0,False,0,1159.029678138734,1200.0,0.0,1195.1496168856463,1163.8800612530877,64.65121510973917,1.0
16,16,/wiki/UFC_2,1994-03-11,,Patrick Smith,def,Ray Wizard,SUB,Submission (guillotine choke),,0:58,58.0,False,0,1225.0185465364325,1200.0,0.0,1258.728661787449,1169.9981174341256,64.65121510973917,3.0
17,17,/wiki/UFC_2,1994-03-11,,Johnny Rhodes,def,David Levicki,SUB,TKO (submission to punches),,12:13,733.0,False,0,1198.3180558165798,1200.0,0.0,1232.7490769307487,1167.5179046092746,64.65121510973917,2.0
18,18,/wiki/UFC_2,1994-03-11,,Frank Hamaker,def,Thaddeus Luster,TKO,TKO (corner stoppage),,4:52,292.0,False,0,1200.0,1200.0,0.0,1232.3256075548695,1167.6743924451305,64.65121510973917,1.0
19,19,/wiki/UFC_2,1994-03-11,,Orlando Wiet,def,Robert Lucarelli,TKO,TKO (knees),,2:50,170.0,False,0,1158.655979736653,1200.0,0.0,1194.8102042180751,1163.845775518578,64.65121510973917,1.0
20,20,/wiki/UFC_2,1994-03-11,,Remco Pardoel,def,Alberto Cerro Leon,SUB,Submission (armlock),,9:51,591.0,False,0,1219.5860445615035,1200.0,0.0,1251.9215974617227,1169.4947614148875,64.65121510973917,2.0
21,21,/wiki/UFC_2,1994-03-11,,Jason Delucia,def,Scott Baker,SUB,TKO (submission to punches),,6:41,401.0,False,0,1210.0918288469302,1200.0,0.0,1241.4787507935923,1168.6130780533379,64.65121510973917,1.0
22,22,/wiki/UFC_2,1994-03-11,,Royce Gracie,def,Minoki Ichihara,SUB,Submission (lapel choke),,5:08,308.0,False,0,1375.028063091805,1200.0,0.0,1399.5566450892272,1182.7083175788785,64.65121510973917,7.0
23,23,/wiki/UFC_3,1994-09-09,,Steve Jennum,def,Harold Howard,SUB,TKO (submission to punches),,1:27,87.0,False,0,1200.0,1200.0,0.0,1232.443488358086,1167.556511641914,64.8869767161717,1.0
24,24,/wiki/UFC_3,1994-09-09,,Ken Shamrock,def,Felix Mitchell,SUB,Submission (rear-naked choke),,4:34,274.0,False,0,1205.694607665953,1200.0,0.0,1239.5210883938628,1168.0882257283872,64.8869767161717,2.0
25,25,/wiki/UFC_3,1994-09-09,,Keith Hackney,def,Emmanuel Yarbrough,TKO,TKO (punches),,1:59,119.0,False,0,1200.0,1200.0,0.0,1232.443488358086,1167.556511641914,64.8869767161717,1.0
26,26,/wiki/UFC_3,1994-09-09,,Ken Shamrock,def,Christophe Leininger,SUB,TKO (submission to punches),,4:49,289.0,False,0,1239.5210883938628,1200.0,0.0,1271.8457680264341,1171.2311502024108,64.8869767161717,3.0
27,27,/wiki/UFC_3,1994-09-09,,Harold Howard,def,Roland Payne,KO,KO (punch),,0:46,46.0,False,0,1167.556511641914,1200.0,0.0,1210.244999005909,1157.311512636005,78.10469419539186,1.0
28,28,/wiki/UFC_3,1994-09-09,,Royce Gracie,def,Kimo Leopoldo,SUB,Submission (armlock),,4:40,280.0,False,0,1399.5566450892272,1200.0,0.0,1423.0426627890656,1184.3804568580624,64.8869767161717,8.0
29,29,/wiki/UFC_4,1994-12-16,,Royce Gracie,def,Dan Severn,SUB,Submission (triangle choke),,15:49,949.0,False,0,1423.0426627890656,1200.0,0.0,1445.5164817834498,1185.8996479316265,65.01428118120533,9.0
30,30,/wiki/UFC_4,1994-12-16,,Royce Gracie,def,Keith Hackney,SUB,Submission (armbar),,5:32,332.0,False,0,1445.5164817834498,1232.443488358086,1.0,1470.4267586581402,1217.6991337498491,65.01428118120533,10.0
31,31,/wiki/UFC_4,1994-12-16,,Dan Severn,def,Marcus Bossett,SUB,Submission (arm-triangle choke),,0:52,52.0,False,0,1185.8996479316265,1200.0,0.0,1219.7253369403043,1166.1743109913223,65.01428118120533,1.0
32,32,/wiki/UFC_4,1994-12-16,,Royce Gracie,def,Ron Van Clief,SUB,Submission (rear-naked choke),,3:49,229.0,False,0,1470.4267586581402,1200.0,0.0,1490.699721651158,1188.6796833521055,65.01428118120533,11.0
33,33,/wiki/UFC_4,1994-12-16,,Keith Hackney,def,Joe Son,SUB,Submission (blood choke),,2:44,164.0,False,0,1217.6991337498491,1200.0,0.0,1248.5517200222926,1169.1474137275566,65.01428118120533,1.0
34,34,/wiki/UFC_4,1994-12-16,,Steve Jennum,def,Melton Bowen,SUB,Submission (armbar),,4:47,287.0,False,0,1232.443488358086,1200.0,0.0,1263.6927341071416,1170.519579482023,65.01428118120533,2.0
35,35,/wiki/UFC_4,1994-12-16,,Dan Severn,def,Anthony Macias,SUB,Submission (rear-naked choke),,1:45,105.0,False,0,1219.7253369403043,1200.0,0.0,1252.228708267408,1169.3364421442418,65.01428118120533,2.0
36,36,/wiki/UFC_4,1994-12-16,,Joe Charles,def,Kevin Rosier,SUB,Submission (armbar),,0:14,14.0,False,0,1200.0,1200.2744440113936,1.0,1232.5328184099708,1167.7416256014228,65.01428118120533,1.0
37,37,/wiki/UFC_4,1994-12-16,,Marcus Bossett,def,Eldo Dias Xavier,KO,KO (strikes),,4:55,295.0,False,0,1166.1743109913223,1200.0,0.0,1209.1008096960136,1157.0735012953087,78.25793105145087,1.0
38,38,/wiki/UFC_4,1994-12-16,,Guy Mezger,def,Jason Fairn,TKO,TKO (corner stoppage),,2:13,133.0,False,0,1200.0,1200.0,0.0,1232.5071405906026,1167.4928594093974,65.01428118120533,1.0
39,39,/wiki/UFC_5,1995-04-07,,Ken Shamrock,vs,Royce Gracie,DRAW,Draw,,36:06,2166.0,False,0,1271.8457680264341,1490.699721651158,11.0,1288.6785417973576,1473.8669478802344,60.333405426241306,0.0
40,40,/wiki/UFC_5,1995-04-07,,Dan Severn,def,Dave Beneteau,SUB,Submission (americana),,3:01,181.0,False,0,1252.228708267408,1200.0,0.0,1283.3737360230468,1172.2810361733368,65.1600778603406,3.0
41,41,/wiki/UFC_5,1995-04-07,,Dave Beneteau,def,Todd Medina,SUB,TKO (submission to strikes),,2:12,132.0,False,0,1172.2810361733368,1200.0,0.0,1207.454861543459,1164.8261746298779,65.1600778603406,1.0
42,42,/wiki/UFC_5,1995-04-07,,Dan Severn,def,Oleg Taktarov,TKO,TKO (cut),,4:21,261.0,False,0,1283.3737360230468,1200.0,0.0,1313.040200018703,1175.0914647698635,65.1600778603406,4.0
43,43,/wiki/UFC_5,1995-04-07,,Jon Hess,def,Andy Anderson,TKO,TKO (punches),,1:23,83.0,False,0,1200.0,1200.0,0.0,1232.5800389301703,1167.4199610698297,65.1600778603406,1.0
44,44,/wiki/UFC_5,1995-04-07,,Todd Medina,def,Larry Cureton,SUB,Submission (forearm choke),,2:55,175.0,False,0,1164.8261746298779,1200.0,0.0,1200.6933423186224,1164.1328323112555,65.1600778603406,1.0
45,45,/wiki/UFC_5,1995-04-07,,Oleg Taktarov,def,Ernie Verdicia,SUB,Submission (choke),,2:23,143.0,False,0,1175.0914647698635,1200.0,0.0,1210.0032554745435,1165.08820929532,65.1600778603406,1.0
46,46,/wiki/UFC_5,1995-04-07,,Dan Severn,def,Joe Charles,SUB,Submission (rear-naked choke),,1:38,98.0,False,0,1313.040200018703,1232.5328184099708,1.0,1344.807790655112,1207.3699111705316,65.1600778603406,5.0
47,47,/wiki/UFC_5,1995-04-07,,Dave Beneteau,def,Asbel Cancio,TKO,TKO (punches),,0:21,21.0,False,0,1207.454861543459,1200.0,0.0,1241.2488087613765,1168.1189177189458,65.1600778603406,2.0
48,48,/wiki/UFC_5,1995-04-07,,Guy Mezger,def,John Dowdy,TKO,TKO (punches),,2:02,122.0,False,0,1232.5071405906026,1200.0,0.0,1263.8201917813155,1170.4593856691388,65.1600778603406,2.0
49,49,/wiki/UFC_6,1995-07-14,,Ken Shamrock,def,Dan Severn,SUB,Submission (guillotine choke),,2:14,134.0,False,0,1288.6785417973576,1344.807790655112,5.0,1326.5508228880599,1306.9355095644098,65.28791813389574,1.0
50,50,/wiki/UFC_6,1995-07-14,,Oleg Taktarov,def,Tank Abbott,SUB,Submission (rear-naked choke),,17:47,1067.0,False,0,1210.0032554745435,1200.0,0.0,1243.6098602672766,1168.2956558559122,65.28791813389574,2.0
51,51,/wiki/UFC_6,1995-07-14,,Tank Abbott,def,Paul Varelans,TKO,TKO (punches),,1:53,113.0,False,0,1168.2956558559122,1200.0,0.0,1203.9102149368223,1164.38544091909,65.28791813389574,1.0
52,52,/wiki/UFC_6,1995-07-14,,Oleg Taktarov,def,Anthony Macias,SUB,Submission (guillotine choke),,0:09,9.0,False,0,1243.6098602672766,1169.3364421442418,0.0,1272.56487461221,1143.56658245669,65.28791813389574,3.0
53,53,/wiki/UFC_6,1995-07-14,,Tank Abbott,def,John Matua,KO,KO (punch),,0:20,20.0,False,0,1203.9102149368223,1200.0,0.0,1245.0927440295854,1161.1485574596572,78.5873088648745,2.0
54,54,/wiki/UFC_6,1995-07-14,,Paul Varelans,def,Cal Worsham,KO,KO (elbow),,1:02,62.0,False,0,1164.38544091909,1200.0,0.0,1207.6929188598904,1156.6925220591995,78.5873088648745,1.0
55,55,/wiki/UFC_6,1995-07-14,,Patrick Smith,def,Rudyard Moncayo,SUB,Submission (rear-naked choke),,1:08,68.0,False,0,1258.728661787449,1200.0,0.0,1291.09804534528,1172.8220413849765,65.28791813389574,4.0
56,56,/wiki/UFC_6,1995-07-14,,Oleg Taktarov,def,Dave Beneteau,SUB,Submission (guillotine),,0:57,57.0,False,0,1272.56487461221,1241.2488087613765,2.0,1307.949414519089,1211.5392667343347,65.28791813389574,4.0
